Utility,SCE,PG&E,SDG&E 
2006-01-01,14.72157308,13.761,13.93517705
2007-01-01,13.9348321,13.998,14.50504682
2008-01-01,13.74490523,13.721,13.60685958
2009-01-01,14.20628268,14.412,16.726
2010-01-01,14.2187694,15.383,16.107
2011-01-01,14.14171196,15.062,15.957
2012-01-01,14.34358817,15.304,15.449
2013-01-01,15.5,15.7,16.269
2014-01-01,15.7,16.313,18.13
2015-01-01,16.2,17.176,20.858
2016-01-01,15,17.776,20.366
2017-01-01,15.8,18.779,21.783
2018-01-01,16.2,19.172,23.997
2019-01-01,16,19.553,23.738
2020-01-01,16.4,21.547,24.072
2021-01-01,18.5,22.552,23.993
2022-01-01,22.3,25.136,31.059
2023-01-01,25.2,28.586,38.471
2024-01-01,26.9,36.568,31.526