Date,Federal Interest Rate (%),Construction Wage ($/hour),Construction Employees (Thousands),Construction Real GDP (M$),Unemployment Rate (%),Real Investment (M$),CPI,Real Corporate Tax ($),SCE Real Energy Price ($/kWh),PG&E Real Energy Price ($/kWh),SDG&E Real Energy Price ($/kWh),Mfg Employees (Thousands),Mfg Wage ($/hour),Minimum Wage ($/hour),Producer Price Index (USA),Average Tarrif Rate(%),NetImports(GwH),StateGeneration(GwH),Real Mfg GDP (Millions of Dollars),Real GDP per Employee($)
2015-05-01,0.12,31.91,720.4,96290.7,6.4,25849.4,237.8,9299360053.23,1672.55,1773.32,2153.46,1280.1,29.71,9.29,188.2,1.5,99019.26,196858.6,270742.0,211500.66
2015-06-01,0.13,32.04,732.5,96290.7,6.3,25849.4,238.64,9266899309.66,1666.71,1767.13,2145.94,1282.2,29.39,9.26,188.9,1.5,99019.26,196858.6,270742.0,211154.27
2015-07-01,0.13,32.31,750.2,98053.8,6.1,25849.4,238.65,9266278032.04,1666.6,1767.01,2145.8,1286.6,29.32,9.26,188.5,1.5,99019.26,196858.6,265512.0,206367.17
2015-08-01,0.14,32.39,760.5,98053.8,6.0,25849.4,238.32,9279420254.86,1668.96,1769.51,2148.84,1287.1,29.21,9.27,187.0,1.5,99019.26,196858.6,265512.0,206287.0
2015-09-01,0.14,32.51,756.4,98053.8,5.9,25849.4,237.94,9293888577.02,1671.57,1772.27,2152.19,1287.8,29.35,9.29,184.3,1.5,99019.26,196858.6,265512.0,206174.87
2015-10-01,0.12,32.51,767.7,100297.9,5.8,25849.4,237.84,9298069767.9,1672.32,1773.07,2153.16,1285.4,29.7,9.29,183.7,1.5,99019.26,196858.6,263981.6,205369.22
2015-11-01,0.12,32.78,765.8,100297.9,5.8,25849.4,237.34,9317736531.58,1675.86,1776.82,2157.72,1283.8,29.74,9.31,182.9,1.5,99019.26,196858.6,263981.6,205625.18
2015-12-01,0.24,33.0,758.0,100297.9,5.7,25849.4,236.52,9349685307.93,1681.6,1782.91,2165.11,1284.6,29.97,9.34,180.8,1.5,99019.26,196858.6,263981.6,205497.12
2016-01-01,0.34,33.11,738.0,102726.5,5.7,30361.3,236.92,10261757580.81,1554.47,1842.15,2110.55,1286.1,30.06,10.36,179.7,1.5,92326.16,198471.27,275034.1,213851.26
2016-02-01,0.38,32.96,748.7,102726.5,5.6,30361.3,237.11,10253318315.11,1553.19,1840.63,2108.82,1285.9,29.77,10.35,178.7,1.5,92326.16,198471.27,275034.1,213884.52
2016-03-01,0.36,32.83,744.8,102726.5,5.6,30361.3,238.13,10209356823.17,1546.53,1832.74,2099.78,1283.3,29.76,10.31,179.3,1.5,92326.16,198471.27,275034.1,214317.85
2016-04-01,0.37,32.53,764.4,103342.9,5.5,30361.3,239.26,10161181968.71,1539.23,1824.09,2089.87,1286.1,29.85,10.26,180.5,1.5,92326.16,198471.27,268774.1,208983.83
2016-05-01,0.37,32.71,770.2,103342.9,5.5,30361.3,240.24,10119942718.89,1532.99,1816.69,2081.39,1285.6,30.08,10.22,181.9,1.5,92326.16,198471.27,268774.1,209065.11
2016-06-01,0.38,32.69,777.7,103342.9,5.5,30361.3,241.04,10086270874.36,1527.89,1810.65,2074.46,1284.4,29.79,10.19,183.6,1.5,92326.16,198471.27,268774.1,209260.43
2016-07-01,0.39,33.14,794.9,105024.9,5.5,30361.3,240.65,10102658911.25,1530.37,1813.59,2077.83,1287.5,29.83,10.2,183.4,1.5,92326.16,198471.27,275993.0,214363.5
2016-08-01,0.4,33.09,799.7,105024.9,5.5,30361.3,240.85,10094018172.97,1529.06,1812.04,2076.05,1284.0,29.96,10.19,182.5,1.5,92326.16,198471.27,275993.0,214947.82
2016-09-01,0.4,33.25,797.9,105024.9,5.5,30361.3,241.43,10069977629.0,1525.42,1807.72,2071.11,1283.4,29.97,10.17,183.0,1.5,92326.16,198471.27,275993.0,215048.31
2016-10-01,0.4,33.3,799.9,106418.9,5.5,30361.3,241.73,10057438532.47,1523.52,1805.47,2068.53,1280.7,30.47,10.16,183.7,1.5,92326.16,198471.27,275506.3,215121.65
2016-11-01,0.41,33.14,792.8,106418.9,5.4,30361.3,241.35,10073106856.0,1525.89,1808.28,2071.75,1283.3,30.42,10.17,183.2,1.5,92326.16,198471.27,275506.3,214685.81
2016-12-01,0.54,33.8,782.9,106418.9,5.4,30361.3,241.43,10069810791.51,1525.39,1807.69,2071.08,1283.7,30.7,10.17,183.9,1.5,92326.16,198471.27,275506.3,214618.91
2017-01-01,0.65,33.82,747.1,107551.4,5.3,34300.6,242.84,10224122969.87,1597.44,1898.62,2202.34,1286.3,30.92,10.62,185.6,1.4,85703.77,206411.2,283730.9,220579.1
2017-02-01,0.66,33.89,761.7,107551.4,5.1,34300.6,243.6,10192057560.37,1592.43,1892.67,2195.43,1283.8,30.95,10.58,186.2,1.4,85703.77,206411.2,283730.9,221008.65
2017-03-01,0.79,33.81,781.1,107551.4,5.0,34300.6,243.8,10183780205.5,1591.13,1891.13,2193.65,1280.3,30.65,10.57,186.7,1.4,85703.77,206411.2,283730.9,221612.83
2017-04-01,0.9,33.36,793.6,109736.9,5.0,34300.6,244.52,10153669160.82,1586.43,1885.54,2187.16,1279.7,31.17,10.54,187.6,1.4,85703.77,206411.2,291960.7,228147.77
2017-05-01,0.91,33.41,806.7,109736.9,4.9,34300.6,244.73,10144998009.59,1585.07,1883.93,2185.3,1282.5,30.65,10.53,187.3,1.4,85703.77,206411.2,291960.7,227649.67
2017-06-01,1.04,33.44,821.3,109736.9,4.8,34300.6,244.96,10135803710.4,1583.64,1882.22,2183.32,1285.0,30.72,10.52,187.6,1.4,85703.77,206411.2,291960.7,227206.77
2017-07-01,1.15,33.92,831.3,111484.0,4.8,34300.6,244.79,10142801458.74,1584.73,1883.52,2184.82,1283.5,31.29,10.53,187.3,1.4,85703.77,206411.2,296920.4,231336.5
2017-08-01,1.16,33.88,837.5,111484.0,4.8,34300.6,245.52,10112520000.0,1580.0,1877.9,2178.3,1284.9,30.69,10.5,188.4,1.4,85703.77,206411.2,296920.4,231084.44
2017-09-01,1.15,34.02,838.6,111484.0,4.7,34300.6,246.82,10059257179.88,1571.68,1868.01,2166.83,1284.9,30.81,10.44,189.6,1.4,85703.77,206411.2,296920.4,231084.44
2017-10-01,1.15,33.95,840.4,114024.2,4.6,34300.6,246.66,10065619074.93,1572.67,1869.19,2168.2,1286.3,31.33,10.45,190.2,1.4,85703.77,206411.2,305934.7,237840.86
2017-11-01,1.16,34.16,836.7,114024.2,4.5,34300.6,246.67,10065374237.87,1572.63,1869.15,2168.14,1287.7,31.03,10.45,191.2,1.4,85703.77,206411.2,305934.7,237582.28
2017-12-01,1.3,34.95,833.4,114024.2,4.5,34300.6,246.52,10071294469.83,1573.56,1870.24,2169.42,1289.5,31.26,10.46,191.3,1.4,85703.77,206411.2,305934.7,237250.64
2018-01-01,1.41,34.06,815.6,117161.0,4.4,32679.3,247.87,12370004517.65,1604.65,1899.04,2376.97,1288.8,31.28,10.9,192.6,1.8,90647.83,195234.43,307279.7,238423.11
2018-02-01,1.42,33.98,837.5,117161.0,4.3,32679.3,248.99,12314163603.41,1597.41,1890.47,2366.24,1289.0,31.01,10.85,193.5,1.8,90647.83,195234.43,307279.7,238386.11
2018-03-01,1.51,34.36,830.6,117161.0,4.3,32679.3,249.55,12286382545.57,1593.81,1886.2,2360.9,1290.0,30.96,10.82,194.0,1.8,90647.83,195234.43,307279.7,238201.32
2018-04-01,1.69,34.06,846.2,114589.2,4.2,32679.3,250.55,12237736422.76,1587.5,1878.73,2351.55,1288.7,30.85,10.78,195.3,1.8,90647.83,195234.43,314141.7,243766.35
2018-05-01,1.7,33.94,855.6,114589.2,4.2,32679.3,251.59,12187051488.05,1580.92,1870.95,2341.81,1289.9,30.51,10.73,197.7,1.8,90647.83,195234.43,314141.7,243539.58
2018-06-01,1.82,34.24,868.4,114589.2,4.2,32679.3,251.99,12167657754.01,1578.41,1867.97,2338.09,1291.4,30.41,10.72,198.4,1.8,90647.83,195234.43,314141.7,243256.7
2018-07-01,1.91,34.5,877.3,116011.0,4.2,32679.3,252.01,12166836939.5,1578.3,1867.85,2337.93,1293.7,30.33,10.72,198.5,1.8,90647.83,195234.43,325766.7,251810.08
2018-08-01,1.91,34.64,884.5,116011.0,4.2,32679.3,252.15,12160081499.51,1577.42,1866.81,2336.63,1293.1,30.07,10.71,198.6,1.8,90647.83,195234.43,325766.7,251926.92
2018-09-01,1.95,34.77,882.4,116011.0,4.2,32679.3,252.44,12145967579.4,1575.59,1864.64,2333.92,1294.2,30.53,10.7,198.9,1.8,90647.83,195234.43,325766.7,251712.8
2018-10-01,2.19,34.82,886.5,116465.3,4.3,32679.3,252.88,12124546373.95,1572.81,1861.36,2329.8,1294.2,30.82,10.68,200.4,1.8,90647.83,195234.43,331346.9,256024.49
2018-11-01,2.2,34.85,878.1,116465.3,4.3,32679.3,252.04,12165292177.27,1578.1,1867.61,2337.63,1294.7,31.31,10.72,198.4,1.8,90647.83,195234.43,331346.9,255925.62
2018-12-01,2.27,35.77,869.9,116465.3,4.3,32679.3,251.23,12204272168.77,1583.15,1873.6,2345.12,1293.5,31.99,10.75,195.2,1.8,90647.83,195234.43,331346.9,256163.05
2019-01-01,2.4,36.33,843.8,118465.6,4.3,30319.7,251.71,13453174550.12,1560.63,1907.19,2315.4,1293.1,32.03,11.7,194.3,2.7,77237.11,200945.49,327533.3,253293.09
2019-02-01,2.4,36.05,848.5,118465.6,4.3,30319.7,252.78,13396546635.6,1554.07,1899.16,2305.65,1292.9,32.22,11.66,195.4,2.7,77237.11,200945.49,327533.3,253332.28
2019-03-01,2.41,35.8,861.7,118465.6,4.2,30319.7,254.2,13321395867.7,1545.35,1888.51,2292.72,1291.3,31.69,11.59,197.4,2.7,77237.11,200945.49,327533.3,253646.17
2019-04-01,2.42,35.98,872.0,119838.4,4.1,30319.7,255.55,13251230580.4,1537.21,1878.56,2280.64,1292.1,31.82,11.53,199.2,2.7,77237.11,200945.49,333455.3,258072.36
2019-05-01,2.39,35.59,883.0,119838.4,4.0,30319.7,256.09,13223081831.38,1533.94,1874.57,2275.8,1292.5,31.58,11.5,199.1,2.7,77237.11,200945.49,333455.3,257992.5
2019-06-01,2.38,35.59,896.1,119838.4,4.0,30319.7,256.14,13220449016.22,1533.64,1874.2,2275.34,1293.0,31.83,11.5,197.0,2.7,77237.11,200945.49,333455.3,257892.73
2019-07-01,2.4,35.58,905.9,120276.1,4.0,30319.7,256.57,13198395268.21,1531.08,1871.07,2271.55,1289.7,31.89,11.48,197.5,2.7,77237.11,200945.49,336275.6,260739.4
2019-08-01,2.13,35.94,911.8,120276.1,4.0,30319.7,256.56,13199064041.51,1531.16,1871.17,2271.66,1292.8,31.4,11.48,196.4,2.7,77237.11,200945.49,336275.6,260114.17
2019-09-01,2.04,35.9,906.8,120276.1,4.0,30319.7,256.76,13188731348.7,1529.96,1869.7,2269.88,1292.8,31.64,11.47,195.9,2.7,77237.11,200945.49,336275.6,260114.17
2019-10-01,1.83,35.79,907.6,118393.9,4.0,30319.7,257.35,13158648171.57,1526.47,1865.44,2264.71,1293.0,31.64,11.45,196.6,2.7,77237.11,200945.49,336445.2,260205.1
2019-11-01,1.55,35.57,906.2,118393.9,4.1,30319.7,257.21,13165708190.88,1527.29,1866.44,2265.92,1292.6,32.1,11.45,196.5,2.7,77237.11,200945.49,336445.2,260285.63
2019-12-01,1.55,36.12,888.6,118393.9,4.1,30319.7,256.97,13177696857.9,1528.68,1868.14,2267.98,1292.5,32.49,11.47,196.4,2.7,77237.11,200945.49,336445.2,260305.76
2020-01-01,1.55,35.74,876.8,115851.8,4.3,33759.5,257.97,9344054117.26,1560.84,2050.69,2291.01,1293.7,32.24,11.42,196.6,2.8,81855.7,192332.22,324653.5,250949.6
2020-02-01,1.58,35.67,892.7,115851.8,4.4,33759.5,258.68,9318515624.38,1556.57,2045.09,2284.75,1290.7,32.25,11.39,195.1,2.8,81855.7,192332.22,324653.5,251532.89
2020-03-01,0.65,36.05,876.8,115851.8,5.5,33759.5,258.12,9338841154.85,1559.97,2049.55,2289.73,1284.7,32.21,11.41,192.3,2.8,81855.7,192332.22,324653.5,252707.64
2020-04-01,0.05,36.16,738.3,106678.3,16.1,33759.5,256.39,9401709842.01,1570.47,2063.35,2305.14,1167.3,33.18,11.49,186.1,2.8,81855.7,192332.22,301794.7,258540.82
2020-05-01,0.05,36.12,829.0,106678.3,15.8,33759.5,256.39,9401526497.04,1570.44,2063.31,2305.1,1190.3,33.3,11.49,188.9,2.8,81855.7,192332.22,301794.7,253545.07
2020-06-01,0.08,35.88,859.7,106678.3,13.8,33759.5,257.8,9350360883.5,1561.89,2052.08,2292.55,1213.6,32.39,11.43,190.2,2.8,81855.7,192332.22,301794.7,248677.24
2020-07-01,0.09,36.47,858.4,115249.9,13.1,33759.5,259.1,9303302514.01,1554.03,2041.75,2281.02,1205.0,32.25,11.37,192.3,2.8,81855.7,192332.22,334783.5,277828.63
2020-08-01,0.1,36.4,866.8,115249.9,11.8,33759.5,259.92,9274059452.15,1549.15,2035.33,2273.85,1210.1,31.99,11.34,193.0,2.8,81855.7,192332.22,334783.5,276657.71
2020-09-01,0.09,36.44,861.7,115249.9,9.9,33759.5,260.28,9261160998.47,1546.99,2032.5,2270.68,1214.7,31.85,11.32,192.9,2.8,81855.7,192332.22,334783.5,275610.03
2020-10-01,0.09,36.35,878.9,116064.5,9.3,33759.5,260.39,9257319786.94,1546.35,2031.66,2269.74,1219.1,31.94,11.31,193.7,2.8,81855.7,192332.22,335036.4,274822.74
2020-11-01,0.09,36.38,874.1,116064.5,9.0,33759.5,260.23,9262976012.22,1547.3,2032.9,2271.13,1219.9,32.45,11.32,194.5,2.8,81855.7,192332.22,335036.4,274642.51
2020-12-01,0.09,37.05,867.3,116064.5,9.0,33759.5,260.47,9254263322.57,1545.84,2030.99,2268.99,1221.5,32.54,11.31,196.7,2.8,81855.7,192332.22,335036.4,274282.77
2021-01-01,0.09,36.18,848.3,118097.9,8.7,33134.7,261.58,24494718106.61,1736.4,2116.71,2251.97,1218.0,33.13,12.2,199.6,3.0,84135.79,196605.18,354811.5,291306.65
2021-02-01,0.08,35.79,862.3,118097.9,8.6,33134.7,263.01,24361354725.46,1726.94,2105.19,2239.7,1222.2,33.77,12.14,203.1,3.0,84135.79,196605.18,354811.5,290305.6
2021-03-01,0.07,35.5,867.3,118097.9,8.5,33134.7,264.88,24190010275.57,1714.8,2090.38,2223.95,1227.6,33.03,12.05,207.9,3.0,84135.79,196605.18,354811.5,289028.59
2021-04-01,0.07,35.38,882.2,118550.5,8.4,33134.7,267.05,23992815504.59,1700.82,2073.34,2205.82,1230.6,32.66,11.95,210.1,3.0,84135.79,196605.18,364429.4,296139.61
2021-05-01,0.06,35.2,885.0,118550.5,8.0,33134.7,269.2,23801992428.4,1687.29,2056.85,2188.28,1235.1,32.63,11.86,215.1,3.0,84135.79,196605.18,364429.4,295060.64
2021-06-01,0.08,35.08,887.0,118550.5,7.9,33134.7,271.7,23582891731.06,1671.76,2037.92,2168.14,1236.3,32.21,11.75,217.9,3.0,84135.79,196605.18,364429.4,294774.25
2021-07-01,0.1,35.2,897.7,114188.0,7.4,33134.7,273.0,23469988797.79,1663.76,2028.16,2157.76,1241.7,32.32,11.69,219.49,3.0,84135.79,196605.18,356035.3,286732.14
2021-08-01,0.09,35.19,897.6,114188.0,7.0,33134.7,273.57,23421601844.39,1660.33,2023.98,2153.31,1245.4,31.87,11.67,220.11,3.0,84135.79,196605.18,356035.3,285880.28
2021-09-01,0.08,35.5,887.7,114188.0,6.5,33134.7,274.31,23358161757.73,1655.83,2018.5,2147.47,1246.0,31.8,11.64,221.87,3.0,84135.79,196605.18,356035.3,285742.62
2021-10-01,0.08,35.08,903.1,110381.2,6.1,33134.7,276.59,23165698389.17,1642.18,2001.87,2129.78,1258.5,31.9,11.54,225.48,3.0,84135.79,196605.18,366520.0,291235.6
2021-11-01,0.08,35.19,900.8,110381.2,5.7,33134.7,277.95,23052431936.06,1634.16,1992.08,2119.37,1264.4,32.08,11.48,227.11,3.0,84135.79,196605.18,366520.0,289876.62
2021-12-01,0.08,35.68,887.5,110381.2,5.4,33134.7,278.8,22981819900.01,1629.15,1985.98,2112.87,1269.0,32.2,11.45,226.47,3.0,84135.79,196605.18,366520.0,288825.85
2022-01-01,0.08,34.78,871.2,115441.2,5.2,37556.9,281.15,40175369718.22,1947.4,2195.06,2712.3,1273.5,32.54,12.23,231.5,2.8,84197.6,202357.31,357754.9,280922.58
2022-02-01,0.08,34.33,896.5,115441.2,4.8,37556.9,283.72,39811730200.4,1929.77,2175.19,2687.75,1279.7,31.34,12.12,237.24,2.8,84197.6,202357.31,357754.9,279561.54
2022-03-01,0.2,34.02,903.6,115441.2,4.5,37556.9,287.5,39287191988.77,1904.35,2146.53,2652.34,1283.8,30.86,11.96,245.4,2.8,84197.6,202357.31,357754.9,278668.72
2022-04-01,0.33,34.03,910.8,108333.4,4.3,37556.9,289.11,39069087595.12,1893.77,2134.62,2637.61,1289.7,31.14,11.89,249.56,2.8,84197.6,202357.31,354382.7,274779.17
2022-05-01,0.77,33.72,916.9,108333.4,4.1,37556.9,292.3,38643104406.28,1873.13,2111.34,2608.85,1292.8,30.89,11.76,256.4,2.8,84197.6,202357.31,354382.7,274120.28
2022-06-01,1.21,33.92,925.1,108333.4,4.0,37556.9,296.31,38119492173.89,1847.75,2082.73,2573.5,1296.6,30.33,11.6,262.42,2.8,84197.6,202357.31,354382.7,273316.91
2022-07-01,1.68,34.43,931.0,103584.4,3.9,37556.9,296.28,38123995347.37,1847.96,2082.98,2573.81,1301.9,31.08,11.6,256.53,2.8,84197.6,202357.31,346990.6,266526.31
2022-08-01,2.33,34.83,931.4,103584.4,3.8,37556.9,296.17,38137511253.76,1848.62,2083.72,2574.72,1304.0,30.8,11.61,251.49,2.8,84197.6,202357.31,346990.6,266097.09
2022-09-01,2.56,34.83,928.9,103584.4,4.0,37556.9,296.81,38055661725.89,1844.65,2079.25,2569.19,1303.9,30.9,11.58,251.89,2.8,84197.6,202357.31,346990.6,266117.49
2022-10-01,3.08,34.59,927.1,101702.1,4.2,37556.9,298.01,37901912827.46,1837.2,2070.84,2558.81,1301.8,30.76,11.53,254.03,2.8,84197.6,202357.31,345153.5,265135.58
2022-11-01,3.78,34.79,909.4,101702.1,4.3,37556.9,297.71,37940233466.48,1839.06,2072.94,2561.4,1301.8,31.36,11.55,252.9,2.8,84197.6,202357.31,345153.5,265135.58
2022-12-01,4.1,35.37,902.5,101702.1,4.4,37556.9,296.8,38057072158.88,1844.72,2079.32,2569.29,1300.5,32.18,11.58,245.12,2.8,84197.6,202357.31,345153.5,265400.62
2023-01-01,4.33,35.12,856.0,98922.5,4.4,39473.0,299.17,24568029392.74,2068.08,2345.96,3157.19,1300.7,32.33,12.72,249.18,2.4,65517.58,215622.73,342202.4,263090.95
2023-02-01,4.57,34.88,893.7,98922.5,4.5,39473.0,300.84,24431649226.92,2056.6,2332.94,3139.66,1298.8,31.54,12.65,249.31,2.4,65517.58,215622.73,342202.4,263475.82
2023-03-01,4.65,35.25,882.3,98922.5,4.5,39473.0,301.84,24351029543.94,2049.81,2325.24,3129.3,1296.1,31.63,12.61,248.98,2.4,65517.58,215622.73,342202.4,264024.69
2023-04-01,4.83,34.68,900.7,100563.7,4.5,39473.0,303.36,24228456843.54,2039.5,2313.53,3113.55,1293.3,31.56,12.54,248.58,2.4,65517.58,215622.73,346697.9,268072.3
2023-05-01,5.06,34.83,912.5,100563.7,4.6,39473.0,304.13,24167592332.89,2034.37,2307.72,3105.73,1291.8,31.48,12.51,246.21,2.4,65517.58,215622.73,346697.9,268383.57
2023-06-01,5.08,34.7,925.2,100563.7,4.6,39473.0,305.11,24089808407.57,2027.83,2300.29,3095.73,1289.8,31.38,12.47,245.78,2.4,65517.58,215622.73,346697.9,268799.74
2023-07-01,5.12,35.84,930.8,102880.8,4.7,39473.0,305.69,24043944222.85,2023.96,2295.92,3089.84,1281.7,31.77,12.45,245.43,2.4,65517.58,215622.73,356741.8,278334.87
2023-08-01,5.33,35.75,936.3,102880.8,4.8,39473.0,307.03,23939397163.19,2015.16,2285.93,3076.4,1280.2,31.05,12.39,251.09,2.4,65517.58,215622.73,356741.8,278660.99
2023-09-01,5.33,35.54,934.1,102880.8,4.9,39473.0,307.79,23880052092.26,2010.17,2280.27,3068.78,1282.2,31.24,12.36,252.37,2.4,65517.58,215622.73,356741.8,278226.33
2023-10-01,5.33,35.74,935.6,102902.5,5.0,39473.0,307.67,23889210726.48,2010.94,2281.14,3069.96,1277.3,31.8,12.37,249.12,2.4,65517.58,215622.73,360594.8,282310.19
2023-11-01,5.33,35.7,924.1,102902.5,5.1,39473.0,307.05,23937448024.68,2015.0,2285.75,3076.15,1270.8,31.95,12.39,246.5,2.4,65517.58,215622.73,360594.8,283754.17
2023-12-01,5.33,35.85,917.0,102902.5,5.1,39473.0,306.75,23961249220.61,2017.0,2288.02,3079.21,1268.6,32.17,12.41,243.27,2.4,65517.58,215622.73,360594.8,284246.26
